experiment,method,variable,mean,sd,q05,median,q95
crypto_student_t_k3_raw,uniform,nu,4.107270477158683,0.149910537449164,3.935062038898468,4.069113731384277,4.371631288528443
crypto_student_t_k3_raw,uniform,pi_0,0.25574617532747135,0.055122129445722215,0.16036586314439774,0.26329876482486725,0.3286077529191971
crypto_student_t_k3_raw,uniform,A_00,0.7300601620333536,0.051755960729636986,0.6387347936630249,0.7343728244304657,0.8067419469356537
crypto_student_t_k3_raw,uniform,trace_Sigma_0,0.011998466466819601,0.002451872173194316,0.008777455380186438,0.0115380953066051,0.016490291431546206
crypto_student_t_k3_raw,uniform,pi_1,0.2873847368678876,0.18912524032945402,0.12081572934985162,0.2402479574084282,0.6025248616933823
crypto_student_t_k3_raw,uniform,A_11,0.704897910782269,0.15768562432060437,0.5675323724746704,0.6286134719848633,0.9659572809934616
crypto_student_t_k3_raw,uniform,trace_Sigma_1,0.2684022563549557,0.23159984839785389,0.013420627359300852,0.21734973788261414,0.7231285333633423
crypto_student_t_k3_raw,uniform,pi_2,0.4568690951168537,0.20718144603074135,0.14529435336589813,0.4584861546754837,0.7138283729553223
crypto_student_t_k3_raw,uniform,A_22,0.8640143212250301,0.16521287856711234,0.5672379940748214,0.9576942622661591,0.9747455596923829
crypto_student_t_k3_raw,uniform,trace_Sigma_2,0.5268287723405021,0.3426027927717573,0.1525075189769268,0.40434619784355164,1.222104811668396
crypto_student_t_k3_raw,uniform,mu_0_0,-0.00034784872938221917,0.009776908522755695,-0.01589066069573164,-0.00032288854708895087,0.01586789190769195
crypto_student_t_k3_raw,uniform,mu_0_1,0.0008846335202542832,0.008772548662667865,-0.01338888150639832,0.0009167296811938286,0.0149686435703188
crypto_student_t_k3_raw,uniform,mu_0_2,-0.0017449529761714596,0.007851615323341776,-0.013691231980919837,-0.002159306313842535,0.012481569685041903
crypto_student_t_k3_raw,uniform,mu_0_3,0.0010656384680519946,0.00796473157922688,-0.012002060329541564,0.0013122031232342124,0.013861543871462337
crypto_student_t_k3_raw,uniform,mu_0_4,-0.002114840300159163,0.008428922146428455,-0.01615266827866435,-0.0020806584507226944,0.011712949536740777
crypto_student_t_k3_raw,uniform,mu_1_0,-0.09544630844326872,0.3660233093833228,-0.7357197135686875,0.0060692282859236,0.3201171293854713
crypto_student_t_k3_raw,uniform,mu_1_1,0.07739694181505391,0.26519249791895977,-0.3485341042280197,0.013389613945037127,0.4359399452805519
crypto_student_t_k3_raw,uniform,mu_1_2,0.08282071062297161,0.12058635572070982,-0.0734609268605709,0.0337300356477499,0.28852181732654564
crypto_student_t_k3_raw,uniform,mu_1_3,0.006247384301262043,0.08456351817785647,-0.11775623634457588,-0.0044233237858861685,0.14774208664894103
crypto_student_t_k3_raw,uniform,mu_1_4,0.14759567370471943,0.1690530057387469,-0.02627114448696375,0.06601567938923836,0.4455226808786392
crypto_student_t_k3_raw,uniform,mu_2_0,-0.10220087564483817,0.24693509767188015,-0.39300748854875567,-0.16819636523723602,0.3186589777469635
crypto_student_t_k3_raw,uniform,mu_2_1,-0.07900957821685421,0.14990966038057468,-0.36362194269895554,-0.04082203656435013,0.1131696239113807
crypto_student_t_k3_raw,uniform,mu_2_2,0.151596997324211,0.1571721390840034,-0.027432342059910297,0.10405849665403366,0.4685496255755424
crypto_student_t_k3_raw,uniform,mu_2_3,-0.1191695742846267,0.13967617589857217,-0.31517783254384996,-0.12750842422246933,0.15927020609378814
crypto_student_t_k3_raw,uniform,mu_2_4,0.047098657557840595,0.16397846195962018,-0.20152526944875718,0.031229469925165176,0.34172084778547285
crypto_student_t_k3_raw,young_static,nu,3.812027482589086,0.1766058491011342,3.57035551071167,3.765064835548401,4.15692367553711
crypto_student_t_k3_raw,young_static,pi_0,0.25489866370956105,0.06686001974855607,0.13707389831542968,0.24759941548109055,0.36176038533449173
crypto_student_t_k3_raw,young_static,A_00,0.7330202999711036,0.09123142797373131,0.5283885329961777,0.7491973638534546,0.8749999940395353
crypto_student_t_k3_raw,young_static,trace_Sigma_0,0.013207884843771656,0.0023014762461078054,0.009990667551755905,0.012871522456407547,0.017036615218967197
crypto_student_t_k3_raw,young_static,pi_1,0.31454319693148136,0.21087550764762011,0.11433285623788834,0.20281078666448593,0.638338628411293
crypto_student_t_k3_raw,young_static,A_11,0.7202661343415578,0.19070968987625123,0.5032484561204911,0.6048808395862579,0.9734424084424973
crypto_student_t_k3_raw,young_static,trace_Sigma_1,0.3398441538478558,0.26279778087958405,0.013486093422397972,0.3726288676261902,0.74420590698719
crypto_student_t_k3_raw,young_static,pi_2,0.4305581482624014,0.21081059430617644,0.12925098836421967,0.511572539806366,0.6776887863874435
crypto_student_t_k3_raw,young_static,A_22,0.8264264326294263,0.19200626473283466,0.5292013168334961,0.9582093358039856,0.972231513261795
crypto_student_t_k3_raw,young_static,trace_Sigma_2,0.6275327332814534,0.19987349554423428,0.21427567750215532,0.6037045419216156,0.9440249592065811
crypto_student_t_k3_raw,young_static,mu_0_0,0.0014563125816251462,0.011448626739928759,-0.017504966631531716,0.0014285531360656023,0.020320590119808912
crypto_student_t_k3_raw,young_static,mu_0_1,0.000799158486527934,0.011739696880602207,-0.01716556493192911,0.0004037449834868312,0.01956065483391285
crypto_student_t_k3_raw,young_static,mu_0_2,0.000631078141911227,0.01157711794555722,-0.018001846503466368,0.0002457333030179143,0.019263665098696946
crypto_student_t_k3_raw,young_static,mu_0_3,0.0017926122438317786,0.009434500870086343,-0.01334110335446894,0.0016625115531496704,0.016860757116228316
crypto_student_t_k3_raw,young_static,mu_0_4,-0.0005582681755671123,0.011125345143151742,-0.017643941938877104,-0.0011021489626727998,0.016946512553840873
crypto_student_t_k3_raw,young_static,mu_1_0,0.11640385326192093,0.186420444080851,-0.13829464241862297,0.024248178116977215,0.40331948995590206
crypto_student_t_k3_raw,young_static,mu_1_1,-0.05416585056472589,0.11923178355505469,-0.2855303406715393,-0.02218171488493681,0.06839185208082198
crypto_student_t_k3_raw,young_static,mu_1_2,-0.01675464032799937,0.14150186327490025,-0.24308997094631193,-0.008745667990297079,0.28729335367679515
crypto_student_t_k3_raw,young_static,mu_1_3,0.13279067221311075,0.23796382624416584,-0.15974893495440484,0.04940110445022583,0.6372284859418869
crypto_student_t_k3_raw,young_static,mu_1_4,0.022559851714759133,0.14710515238955482,-0.24852879270911216,0.015716930851340294,0.25338155925273886
crypto_student_t_k3_raw,young_static,mu_2_0,0.06675173502376613,0.18110875999765608,-0.17075168192386628,0.036095647141337395,0.40123392045497885
crypto_student_t_k3_raw,young_static,mu_2_1,-0.06203272342177418,0.22788281306142447,-0.3486467272043228,-0.11575078219175339,0.32531608641147614
crypto_student_t_k3_raw,young_static,mu_2_2,0.031143409421589847,0.15308822924264312,-0.2196041502058506,0.024384131655097008,0.303918932378292
crypto_student_t_k3_raw,young_static,mu_2_3,-0.037119735413774224,0.1370575768640025,-0.24782935380935667,-0.04644070006906986,0.1022780768573281
crypto_student_t_k3_raw,young_static,mu_2_4,0.17080232453454908,0.13967956456354852,-0.04176520761102438,0.1568516492843628,0.38894506841897963
crypto_student_t_k3_raw,online_feature,nu,3.7923828836282096,0.1215208968239804,3.6220779061317443,3.7934648990631104,3.971285712718963
crypto_student_t_k3_raw,online_feature,pi_0,0.2504720083872477,0.06125724461470645,0.19308021366596223,0.2298906221985817,0.38747041225433343
crypto_student_t_k3_raw,online_feature,A_00,0.6896602390706539,0.08760407672534273,0.510956135392189,0.7133496999740601,0.7989499777555465
crypto_student_t_k3_raw,online_feature,trace_Sigma_0,0.012343292890582233,0.0028512524582462694,0.008450498292222618,0.011972679290920496,0.01811863863840699
crypto_student_t_k3_raw,online_feature,pi_1,0.3800594534476598,0.18250342183839308,0.15095945969223976,0.3292742967605591,0.6153774887323379
crypto_student_t_k3_raw,online_feature,A_11,0.7662890661259493,0.19642824016773586,0.46317070424556733,0.709198534488678,0.9695497304201126
crypto_student_t_k3_raw,online_feature,trace_Sigma_1,0.3016157526150346,0.2153482812563622,0.013306192634627224,0.306593656539917,0.6283505529165266
crypto_student_t_k3_raw,online_feature,pi_2,0.3694685446967681,0.16866010672875292,0.16032389551401138,0.43856509029865265,0.5802784353494643
crypto_student_t_k3_raw,online_feature,A_22,0.8108737607300281,0.16857418933305937,0.5124734401702881,0.9375514388084412,0.9678317040205002
crypto_student_t_k3_raw,online_feature,trace_Sigma_2,0.5338017384459575,0.17260912393468703,0.2500777617096901,0.5623904466629028,0.8425425738096235
crypto_student_t_k3_raw,online_feature,mu_0_0,0.0006120448266544069,0.010636995317463517,-0.01628843806684017,0.0008735787123441696,0.018109165970236058
crypto_student_t_k3_raw,online_feature,mu_0_1,7.90020145359449e-05,0.01023582223205942,-0.016121186129748822,-0.00013824054622091353,0.016341724339872597
crypto_student_t_k3_raw,online_feature,mu_0_2,-0.0010588966516661457,0.00976385887375051,-0.018017965089529752,-0.000891353003680706,0.014058276731520885
crypto_student_t_k3_raw,online_feature,mu_0_3,-5.9098726827263213e-05,0.009458464918052422,-0.014774806378409265,8.144066669046879e-05,0.015441184677183627
crypto_student_t_k3_raw,online_feature,mu_0_4,-0.0024900147721443017,0.009803899358954428,-0.01837115278467536,-0.0026510371826589108,0.01398585303686558
crypto_student_t_k3_raw,online_feature,mu_1_0,0.06261592260479422,0.09458785626719453,-0.03443781211972236,0.04865860566496849,0.23771831765770896
crypto_student_t_k3_raw,online_feature,mu_1_1,-0.03827758138247494,0.18496119885570625,-0.36940481215715404,-0.005991123616695404,0.22874095663428304
crypto_student_t_k3_raw,online_feature,mu_1_2,-0.05486587408930063,0.0998062724127267,-0.21447469741106034,-0.03381659276783466,0.09159854874014843
crypto_student_t_k3_raw,online_feature,mu_1_3,-0.030184134193114005,0.144164616252827,-0.313414503633976,-0.0029233673121780157,0.1971842572093009
crypto_student_t_k3_raw,online_feature,mu_1_4,-0.0508036177023314,0.13146610174415274,-0.3178209692239761,-0.01175747998058796,0.17162290960550303
crypto_student_t_k3_raw,online_feature,mu_2_0,0.045129287607269364,0.13971550557355178,-0.18073161244392394,0.04345427826046944,0.30310564637184134
crypto_student_t_k3_raw,online_feature,mu_2_1,0.1378193299829339,0.2563680287012417,-0.33831929266452787,0.20475324243307114,0.4525759771466255
crypto_student_t_k3_raw,online_feature,mu_2_2,-0.10476632489803403,0.17852466961536426,-0.4487994581460953,-0.07030519470572472,0.10701809749007217
crypto_student_t_k3_raw,online_feature,mu_2_3,-0.05181433242144825,0.13418616729040606,-0.2543995201587677,-0.0744488425552845,0.22951135784387583
crypto_student_t_k3_raw,online_feature,mu_2_4,-0.03853348879201803,0.2127198761307112,-0.3487451300024986,-0.042157888412475586,0.345657904446125
crypto_gaussian_k2_rollstd,uniform,pi_0,0.5881202731813703,0.026380051879193546,0.5420778065919876,0.5902370810508728,0.6298259764909744
crypto_gaussian_k2_rollstd,uniform,A_00,0.853260971392904,0.009891178222606798,0.8366948187351226,0.8540544211864471,0.8676017194986343
crypto_gaussian_k2_rollstd,uniform,trace_Sigma_0,2.990331424985613,0.4729698798675517,2.3767856121063233,2.9459797143936157,3.693193531036377
crypto_gaussian_k2_rollstd,uniform,mu_0_0,0.010944125328595483,0.034499550246771225,-0.0386621406301856,0.01134342746809125,0.0633698474615812
crypto_gaussian_k2_rollstd,uniform,mu_0_1,-0.0034940118402508754,0.03215035950554274,-0.0498983196914196,-0.00595919624902308,0.05270624887198201
crypto_gaussian_k2_rollstd,uniform,mu_0_2,-0.06256791887738343,0.03838276144218391,-0.12610192149877547,-0.06325238570570946,-0.001899510424118498
crypto_gaussian_k2_rollstd,uniform,mu_0_3,-0.028758424594499437,0.04696054829016261,-0.09792386554181576,-0.02902201935648918,0.06548986621201038
crypto_gaussian_k2_rollstd,uniform,mu_0_4,-0.03758533045267021,0.04103719078388543,-0.10073587000370025,-0.035770710557699203,0.02584564760327338
crypto_gaussian_k2_rollstd,uniform,pi_1,0.4118797310761043,0.026380053302100307,0.3701739951968193,0.4097629338502884,0.4579221963882446
crypto_gaussian_k2_rollstd,uniform,A_11,0.7894898576395852,0.022399525167145242,0.7602597415447235,0.7849484086036682,0.8319291442632675
crypto_gaussian_k2_rollstd,uniform,trace_Sigma_1,7.637571678842817,0.2869916288721007,7.14895088672638,7.6650941371917725,8.09579839706421
crypto_gaussian_k2_rollstd,uniform,mu_1_0,-0.04982279255803276,0.06641742048655268,-0.17641328349709512,-0.04108070954680443,0.05238979607820509
crypto_gaussian_k2_rollstd,uniform,mu_1_1,0.02876070130982303,0.05640722181957756,-0.05706407111138105,0.036408135667443275,0.12206258848309513
crypto_gaussian_k2_rollstd,uniform,mu_1_2,0.08912480031140149,0.1190012282445589,-0.08916370272636413,0.06038340926170349,0.30507073402404744
crypto_gaussian_k2_rollstd,uniform,mu_1_3,0.09749453730182722,0.06267774473919904,-0.04515620488673448,0.11130865290760994,0.16863468885421742
crypto_gaussian_k2_rollstd,uniform,mu_1_4,0.13543030330246048,0.0818903691198747,-0.025223476532846685,0.14361665397882462,0.2612473964691162
crypto_gaussian_k2_rollstd,young_static,pi_0,0.6042163095303944,0.029671366174098854,0.5555281221866608,0.603554904460907,0.6452444881200791
crypto_gaussian_k2_rollstd,young_static,A_00,0.8368612685373851,0.015789905487984153,0.8145097255706787,0.834403783082962,0.8640156090259552
crypto_gaussian_k2_rollstd,young_static,trace_Sigma_0,2.7150330867086137,0.20067470767465898,2.414754605293274,2.7029356956481934,3.0730488181114195
crypto_gaussian_k2_rollstd,young_static,mu_0_0,0.021703630190209617,0.052041302465880235,-0.06400812678039074,0.02643738128244877,0.09553803279995918
crypto_gaussian_k2_rollstd,young_static,mu_0_1,-0.0077322045723641555,0.08846022201606865,-0.10566850602626801,-0.03495568968355656,0.1737586595118045
crypto_gaussian_k2_rollstd,young_static,mu_0_2,-0.0895619485232081,0.05153563977383231,-0.17886335477232934,-0.08321928977966309,-0.008845167513936776
crypto_gaussian_k2_rollstd,young_static,mu_0_3,-0.03608638453131009,0.054815645472466513,-0.11155293919146061,-0.042078129947185516,0.06412675529718398
crypto_gaussian_k2_rollstd,young_static,mu_0_4,-0.05448767067199307,0.04604010855823388,-0.13219452053308486,-0.05324166268110275,0.029898032080382102
crypto_gaussian_k2_rollstd,young_static,pi_1,0.39578370324202944,0.029671366066805455,0.35475551187992094,0.3964451402425766,0.44447190761566147
crypto_gaussian_k2_rollstd,young_static,A_11,0.7510659737246377,0.018333429586135108,0.7207095861434937,0.7509287595748901,0.7846200108528137
crypto_gaussian_k2_rollstd,young_static,trace_Sigma_1,8.224127016748701,0.4367973036457036,7.6182358980178835,8.142752170562744,8.893585157394408
crypto_gaussian_k2_rollstd,young_static,mu_1_0,-0.10133692467352376,0.07715748810339962,-0.22564839646220208,-0.10942184180021286,0.0424782482907175
crypto_gaussian_k2_rollstd,young_static,mu_1_1,-0.06832630702452401,0.061848665576593784,-0.1563400812447071,-0.06632302701473236,0.031040725670754537
crypto_gaussian_k2_rollstd,young_static,mu_1_2,0.0274958168089922,0.07799248737239402,-0.12282899282872677,0.030816657468676567,0.1490127310156822
